,frases
323,recebido produto radio portatil cd bluetooth <NUMERO> semp tipo entrega retirada loja observacao partir finalizacao compra ate <NUMERO> horas confirmar pagamento caso compra sido efetuada cartao voce pode receber ligacao outra regiao
324,ficou alguma duvida relacao pedido
325,sim
326,ainda aprendendo janaina ribeiro algumas duvidas ainda nao consigo ajudar aqui outras voce pode tentar consultar outras duvidas logo inicio conversa
327,fala irei verificar junto colegas vou pedir entrar contato voce breve
331,josafa vamos conversar sobre
332,favor escolha opcoes abaixo
334,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
336,nao entendi
337,favor escolha opcoes abaixo
339,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
341,nao entendi voce quis dizer vamos tentar novamente
342,favor escolha opcoes abaixo
344,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
346,nao entendendo
347,favor escolha opcoes abaixo
349,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
351,preciso informe cpf pessoa realizou compra
353,compra josafa status pedido
355,alguma informacao sobre pedido
357,ajudar
359,aqui sempre precisar josafa
363,wanderson vamos conversar sobre
364,favor escolha opcoes abaixo
366,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
368,preciso informe cpf pessoa realizou compra
370,compra wanderson status pedido
372,alguma informacao sobre pedido
374,ajudar
376,wanderson
380,adryana vamos conversar sobre
381,favor escolha opcoes abaixo
383,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
385,preciso informe cpf pessoa realizou compra
387,compra adryana status pedido
389,alguma informacao sobre pedido
393,augusto vamos conversar sobre
394,favor escolha opcoes abaixo
396,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
398,nao entendi voce quis dizer vamos tentar novamente
399,favor escolha opcoes abaixo
401,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
403,nao entendi
404,favor escolha opcoes abaixo
406,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
408,preciso informe cpf pessoa realizou compra
410,compra augusto status pedido
412,alguma informacao sobre pedido
414,ajudar
420,clecia vamos conversar sobre
421,favor escolha opcoes abaixo
423,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
425,preciso informe cpf pessoa realizou compra
427,compra clecia status pedido
429,alguma informacao sobre pedido
431,duvida clecia
432,entrega
433,escolheu opcao receber produto residencia prazo entrega <NUMERO> dias uteis confirmacao pagamento
434,consultar status entrega
443,residencia
445,compra sera entregue ate <span style color <NUMERO> voce ira receber ligacao agendar dia entrega
472,ajudar
474,aqui sempre precisar clecia
478,marcones vamos conversar sobre
479,favor escolha opcoes abaixo
481,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
483,preciso informe cpf pessoa realizou compra
485,compra marcones status pedido
487,alguma informacao sobre pedido
489,ajudar
491,marcones
495,marcones vamos conversar sobre
496,favor escolha opcoes abaixo
498,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
500,preciso informe cpf pessoa realizou compra
502,nao consegui encontrar compras cpf informa novamente
504,compra marcones status pedido
506,alguma informacao sobre pedido
508,ajudar
510,marcones
513,pb
514,caroline rodrigues vamos conversar sobre
515,favor escolha opcoes abaixo
516,pedido
517,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
518,<PEDIDO>
519,preciso informe cpf pessoa realizou compra
520,<NUMERO>
521,compra caroline rodrigues status pedido
523,alguma informacao sobre pedido
524,sim
525,duvida caroline rodrigues
526,preciso retirar hoje
527,rodrigues voce comprou retirar produto loja prazo retirada <NUMERO> horas uteis apos voce receber mail confirmacao pagamento
528,consultar status pedido
529,sim
530,rodrigues voce escolheu <div style
544,loja
546,finalizacao compra ate <NUMERO> horas confirmar pagamento caso compra sido efetuada cartao voce pode receber ligacao outra regiao
566,ajudar
567,nao
568,rodrigues vou tentar ver colegas proxima vez consiga ajudar melhor abracos
572,jaqueline vamos conversar sobre
573,favor escolha opcoes abaixo
575,ainda aprendendo vao ter algumas coisas aqui nao vou conseguir ajudar agora proxima vez vou tentar ser melhor
576,deseja saber
577,solicitacao cabcelamento
578,vou saber colegas sobre voce falou proxima vez ja vou tentar ajudar aqui ta
579,ajudar alguma coisa
581,favor escolha opcoes abaixo
583,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
585,preciso informe cpf pessoa realizou compra
587,compra jaqueline status pedido
589,alguma informacao sobre pedido
593,teste vamos conversar sobre
594,favor escolha opcoes abaixo
596,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
598,nao consegui encontrar compras pedido confirma pedido novamente
600,preciso informe cpf pessoa realizou compra
602,compra teste status pedido
603,style border <NUMERO> solid <NUMERO> <NUMERO> <NUMERO> <NUMERO> <NUMERO> <NUMERO> <NUMERO> <NUMERO> <NUMERO>
604,    <link href='https://fonts.googleapis.com/css?family=Roboto' rel='stylesheet'>
605,        <b>
606,         
607,"                <img src=""https://armpb-global-public.s3.us-east-2.amazonaws.com/chatbot/pagamento_confirmado.png"" width='50'></img>"
608,                
609,"                  <b style=""color: green; font-size: 15px;"" class=""font"">"
610,                    Pagamento Recebido
611,                </b>
612,                </br>
613,            </center>
614,        </b>
615,    
616,<!--###################################################################################-->
617,        <post></post>
618,"            <b class=""font"">"
619,                Produto:
620,            </b>
621,               <post>Guarda Roupa 4 Portas 3 Gavetas Lisi 3481 em MDF Branco Brilho com Carvalho Móveis Peroba</post>
622,            
623,        <post></post>
624,"            <b class=""font"">"
625,                Produto:
626,            </b>
627,               <post>Cômoda Lisi 3423 1 Portas Peroba Mdf Branco Carvalho</post>
628,            
629,        <post></post>
630,<!--###################################################################################-->
631,"        <b class=""font"">"
632,            Tipo de Entrega:
633,        </b>
634,            <post>Entrega em Residência.</post>
635,     
636,     
637,<!--###################################################################################-->
638,    <post></post>
639,"        <b class=""font"">"
640,            Forma de Pagamento:
641,        </b>
642,           <post>Cartão de Crédito</post>
643,        
644,        <post></post>
645,"            <b class=""font"">"
646,                Quantidade de Parcelas:
647,            </b>
648,               <post>10</post>
649,            
650,        <post></post>
651,    <post></post>
652,    
653,<!--###################################################################################-->
654,"        <b class=""font"">"
655,            Observação:
656,        </b>
657,"            <post>Sua entrega será realizada de <h style='color: green;'><b>05/05/2020 até 16/05/2020</b></h>, mas não se preocupe, entraremos em contato para agendá-la.</post>"
658,<!--###################################################################################-->
659,        <style>
660,            .font{font-family: 'Roboto';font-size: 15px;}
661,            post{font-family: 'Roboto';font-size: 15px;}
664,alguma informacao sobre pedido
666,ajudar
668,teste
672,syrlan vamos conversar sobre
673,favor escolha opcoes abaixo
675,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
677,preciso informe cpf pessoa realizou compra
679,compra syrlan status pedido
681,alguma informacao sobre pedido
683,ajudar
689,isa mcbarbosa hotma vamos conversar sobre
690,favor escolha opcoes abaixo
692,ainda aprendendo vao ter algumas coisas aqui nao vou conseguir ajudar agora proxima vez vou tentar ser melhor
693,deseja saber
695,retirada produto loja prazo entrega <NUMERO> uteis apos receber mail confirmacao pagamento
696,escolheu receber produto casa prazo entrega <NUMERO> dias uteis confirmacao pagamento
697,todos casos enviaremos mail sempre atualizacao status pedido
698,consultar pedido
700,informa numero pedido isa mcbarbosa hotma
702,preciso informe cpf pessoa realizou compra
704,compra isa mcbarbosa hotma status pedido
706,alguma informacao sobre pedido
708,tentar ajudar duvida isa mcbarbosa hotma
709,opcao entregar casa sistema registrou retirar loja fisica cancelei ultima compra conta disso acontece erro sistema nao preciso entrega caaa
710,nao entendi voce quis dizer vamos tentar novamente
711,favor escolha opcoes abaixo
712,devolucao
713,duvidas relacao cancelamento podera entrar contato atraves numero <NUMERO> algum colega ira ajudar tambem posso transferir atendente humano
714,falar atendente humano
716,redirecionar atendente humano clique botao abaixo
718,instante verificando alguem online
720,momento nao ninguem atender tente novamente outro horario
722,breve bjs
726,isadora vamos conversar sobre
727,favor escolha opcoes abaixo
729,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
731,preciso informe cpf pessoa realizou compra
733,compra isadora status pedido
735,alguma informacao sobre pedido
737,ajudar
739,botao abaixo vou redirecionar atendimento
741,instante verificando alguem online
743,momento nao ninguem atender tente novamente outro horario
745,breve bjs
748,pb
749,marceliana vamos conversar sobre
750,favor escolha opcoes abaixo
751,duvidas
752,ainda aprendendo vao ter algumas coisas aqui nao vou conseguir ajudar agora proxima vez vou tentar ser melhor
753,deseja saber
754,boa tarde efetuei compra site ontem hj ligaram confirmando poderia receber mercadoria entao dirigi loja cajazeiras chegar mesma deparei mercadoria diferente comprado querendo saber vamos resolver situacao
755,nao entendendo
756,favor escolha opcoes abaixo
757,pedido
758,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
759,<PEDIDO>
760,preciso informe cpf pessoa realizou compra
761,<NUMERO>
762,compra marceliana status pedido
764,alguma informacao sobre pedido
765,sim
766,duvida marceliana
767,receber panela pressao disseram cod errado inves panela pressao receberia panela eletrica
768,nao entendi
769,favor escolha opcoes abaixo
770,vale compra
771,informa cpf
774,pb
775,flavia vamos conversar sobre
776,favor escolha opcoes abaixo
777,pedido
778,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
779,<PEDIDO>
780,preciso informe cpf pessoa realizou compra
781,<NUMERO>
782,compra flavia status pedido
784,alguma informacao sobre pedido
785,nao
786,ajudar
787,nao
788,vou tentar ver colegas proxima vez consiga ajudar melhor abracos
791,pb
792,junior almeida vamos conversar sobre
793,favor escolha opcoes abaixo
794,pedido
795,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
796,<PEDIDO>
797,preciso informe cpf pessoa realizou compra
798,<NUMERO>
799,compra junior almeida status pedido
801,alguma informacao sobre pedido
805,zaira vamos conversar sobre
806,favor escolha opcoes abaixo
808,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
810,preciso informe cpf pessoa realizou compra
812,compra zaira status pedido
814,alguma informacao sobre pedido
816,ainda aprendendo zaira algumas duvidas ainda nao consigo ajudar aqui fala duvida sobre prazo entrega confirmacao pagamento
817,pagamento
818,sistema leva ate <NUMERO> analise pagamento nesse prazo voce podera receber algum contato telefone confirmar algumas informacoes
819,descontado algum valor cartao nao preocupe apenas reserva enquanto compra analisada
820,ajudar
822,vou tentar ver colegas proxima vez consiga ajudar melhor abracos
826,zaira vamos conversar sobre
827,favor escolha opcoes abaixo
829,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
831,preciso informe cpf pessoa realizou compra
833,compra zaira status pedido
835,alguma informacao sobre pedido
837,ajudar
842,pb
843,renilda vamos conversar sobre
844,favor escolha opcoes abaixo
845,pedido
846,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
847,<PEDIDO>
848,preciso informe cpf pessoa realizou compra
849,<CPF>
850,nao consegui encontrar compras cpf informa novamente
851,<NUMERO>
852,favor preciso insira dados abaixo possamos entrar contato voce
853,tchau
854,breve bjs
858,ana vamos conversar sobre
859,favor escolha opcoes abaixo
861,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
863,preciso informe cpf pessoa realizou compra
865,nao consegui localizar dados informados irei abrir chamado interno poder ajudar vou precisar preencha informacoes formulario abaixo
866,equipe vai verificar caso ate <NUMERO> daremos retorno pedimos compreensao prazo ja equipe reduzida devido coronavirus
867,puder fique casa
869,breve bjs
873,ana vamos conversar sobre
874,favor escolha opcoes abaixo
876,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
878,preciso informe cpf pessoa realizou compra
880,nao consegui localizar dados informados irei abrir chamado interno poder ajudar vou precisar preencha informacoes formulario abaixo
881,equipe vai verificar caso ate <NUMERO> daremos retorno pedimos compreensao prazo ja equipe reduzida devido coronavirus
882,puder fique casa
884,breve bjs
887,pb
888,adilson bezerra vamos conversar sobre
889,favor escolha opcoes abaixo
890,pedido
891,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
892,<PEDIDO>
893,preciso informe cpf pessoa realizou compra
894,<NUMERO>
895,compra adilson bezerra status pedido
897,alguma informacao sobre pedido
898,sim
899,duvida adilson bezerra
900,cade produto
901,bezerra vou verificar aqui internamente junto colegas tentar verificar aconteceu
902,possamos entrar contato voce preciso preencha abaixo mail numero contato
903,tchau
904,breve bjs
907,pb
908,adilson vamos conversar sobre
909,favor escolha opcoes abaixo
910,pedido
911,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
912,<PEDIDO>
913,preciso informe cpf pessoa realizou compra
914,<NUMERO>
915,compra adilson status pedido
917,alguma informacao sobre pedido
918,sim
919,tentar ajudar duvida adilson
920,chega
