,frases
8394,pagamento ainda nao aprovado
8395,sistema leva ate <NUMERO> analise pagamento nesse prazo voce podera receber algum contato telefone confirmar algumas informacoes
8396,descontado algum valor cartao nao preocupe apenas reserva enquanto compra analisada
8397,ajudar
8399,jussianasilva
8403,jussiana vamos conversar sobre
8404,favor escolha opcoes abaixo
8406,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
8408,preciso informe cpf pessoa realizou compra
8410,compra jussiana status pedido
8412,alguma informacao sobre pedido
8414,tentar ajudar duvida jussiana
8415,cancela ess pedido
8416,duvidas relacao cancelamento podera entrar contato atraves numero <NUMERO> algum colega ira ajudar tambem posso transferir atendente humano
8417,falar atendente humano
8419,redirecionar atendente humano clique botao abaixo
8421,instante verificando alguem online
8423,momento nao ninguem atender tente novamente outro horario
8425,breve bjs
8428,ba
8429,gabriel isaque vamos conversar sobre
8430,favor escolha opcoes abaixo
8431,pedido
8432,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
8433,<PEDIDO>
8434,preciso informe cpf pessoa realizou compra
8435,<NUMERO>
8436,compra gabriel isaque status pedido
8438,alguma informacao sobre pedido
8439,sim
8440,tentar ajudar duvida gabriel isaque
8441,quero cancelar compra faco
8442,nao entendendo
8443,favor escolha opcoes abaixo
8444,duvidas
8445,ainda aprendendo vao ter algumas coisas aqui nao vou conseguir ajudar agora proxima vez vou tentar ser melhor
8446,deseja saber
8450,gabriel vamos conversar sobre
8451,favor escolha opcoes abaixo
8453,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
8455,preciso informe cpf pessoa realizou compra
8456,<NUMERO> <NUMERO> <NUMERO>
8457,nao consegui encontrar compras cpf informa novamente
8458,<NUMERO> <NUMERO> <NUMERO>
8459,favor preciso insira dados abaixo possamos entrar contato voce
8461,breve bjs
8465,edijaelson vamos conversar sobre
8466,favor escolha opcoes abaixo
8468,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
8470,preciso informe cpf pessoa realizou compra
8472,compra edijaelson status pedido
8473,recebido produto forno eletrico black decker <NUMERO> <NUMERO> <NUMERO> preto tipo entrega retirada loja observacao partir finalizacao compra ate <NUMERO> horas confirmar pagamento caso compra sido efetuada cartao voce pode receber ligacao outra regiao pedido recebido produto depurador slim <NUMERO> cm <NUMERO> suggar potencia <NUMERO> branco tipo entrega retirada loja observacao partir finalizacao compra ate <NUMERO> horas confirmar pagamento caso compra sido efetuada cartao voce pode receber ligacao outra regiao pedido recebido produto banqueta turim preto corino vermelho <NUMERO> aco nobre tipo entrega retirada loja observacao partir finalizacao compra ate <NUMERO> horas confirmar pagamento caso compra sido efetuada cartao voce pode receber ligacao outra regiao pedido recebido produto cozinha compacta multipla <NUMERO> <NUMERO> portas branco preto bertolini tipo entrega retirada loja observacao partir finalizacao compra ate <NUMERO> horas confirmar pagamento caso compra sido efetuada cartao voce pode receber ligacao outra regiao
8474,ficou alguma duvida relacao pedido
8476,ainda aprendendo edijaelson algumas duvidas ainda nao consigo ajudar aqui outras voce pode tentar consultar outras duvidas logo inicio conversa
8477,fala irei verificar junto colegas vou pedir entrar contato voce breve
8480,souza pb
8481,joao souza vamos conversar sobre
8482,favor escolha opcoes abaixo
8483,souza vale compra
8484,souza informa cpf
8485,souza <NUMERO>
8486,souza acabei verificar cpf gostaria saber posso enviar sms numero telefone termina <NUMERO>
8487,souza sim
8488,instantes voce recebera mensagem informacoes sobre saldo
8489,ajudar
8490,souza sim
8494,pb
8495,jailson vamos conversar sobre
8496,favor escolha opcoes abaixo
8497,pedido
8498,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
8499,<PEDIDO>
8500,preciso informe cpf pessoa realizou compra
8501,<NUMERO>
8502,compra jailson status pedido
8504,alguma informacao sobre pedido
8505,sim
8506,duvida jailson
8507,chega ainda hoje
8508,sistema leva ate <NUMERO> analise pagamento nesse prazo voce podera receber algum contato telefone confirmar algumas informacoes
8509,descontado algum valor cartao nao preocupe apenas reserva enquanto compra analisada
8510,ajudar
8511,sim
8515,pb
8516,aureliano lira vamos conversar sobre
8517,favor escolha opcoes abaixo
8518,pedido
8519,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
8520,<NUMERO>
8521,nao entendi voce quis dizer vamos tentar novamente
8522,favor escolha opcoes abaixo
8523,pedido
8524,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
8525,<PEDIDO>
8526,preciso informe cpf pessoa realizou compra
8527,<NUMERO>
8528,compra aureliano lira status pedido
8530,alguma informacao sobre pedido
8531,nao
8532,ajudar
8533,nao
8534,redirecionar atendente humano clique botao abaixo
8535,trueconsultahumano
8536,instante verificando alguem online
8537,falsechatonline
8538,lira momento nao ninguem atender tente novamente outro horario
8541,silva pb
8542,jose carlos silva vamos conversar sobre
8543,favor escolha opcoes abaixo
8544,silva pedido
8545,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
8546,silva <PEDIDO>
8547,preciso informe cpf pessoa realizou compra
8548,silva <NUMERO>
8549,compra jose carlos silva status pedido
8551,alguma informacao sobre pedido
8555,hynna vamos conversar sobre
8556,favor escolha opcoes abaixo
8557,compra
8558,informa cpf
8560,acabei verificar cpf voce nao possui nenhum saldo vale compra momento
8561,ajudar
8563,hynna
8566,pb
8567,suzany almeida vamos conversar sobre
8568,favor escolha opcoes abaixo
8569,pedido
8570,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
8571,<PEDIDO>
8572,preciso informe cpf pessoa realizou compra
8573,<NUMERO>
8574,compra suzany almeida status pedido
8576,alguma informacao sobre pedido
8577,nao
8578,ajudar
8579,sim
8580,suzany almeida
8583,pb
8584,mayrla melo vamos conversar sobre
8585,favor escolha opcoes abaixo
8586,pedido
8587,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
8588,<PEDIDO>
8589,preciso informe cpf pessoa realizou compra
8590,<NUMERO>
8591,nao consegui encontrar compras cpf informa novamente
8592,<NUMERO>
8593,nao consegui localizar pedido vou abrir chamado interno ajudar ate <NUMERO> horas damos retorno vou precisar preencha informacoes abaixo
8594,tchau
8595,chamado aberto peco compreensao relacao prazo ja equipe atendimento contingencia devido coronavirus ah puder fique casa br> br> tchau ate
8599,alexsandra vamos conversar sobre
8600,favor escolha opcoes abaixo
8602,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
8604,preciso informe cpf pessoa realizou compra
8606,compra alexsandra status pedido
8608,alguma informacao sobre pedido
8610,ajudar
8612,alexsandra
8616,alexsandra vamos conversar sobre
8617,favor escolha opcoes abaixo
8619,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
8621,preciso informe cpf pessoa realizou compra
8623,compra alexsandra status pedido
8625,alguma informacao sobre pedido
8627,ajudar
8629,redirecionar atendente humano clique botao abaixo
8631,instante verificando alguem online
8633,momento nao ninguem atender tente novamente outro horario
8635,breve bjs
8639,pedro vamos conversar sobre
8640,favor escolha opcoes abaixo
8642,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
8644,preciso informe cpf pessoa realizou compra
8646,nao consegui encontrar compras cpf informa novamente
8648,preciso preencha informacoes abaixo pedir algum colega contato voce
8650,breve bjs
8654,pedro vamos conversar sobre
8655,favor escolha opcoes abaixo
8657,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
8659,preciso informe cpf pessoa realizou compra
8661,nao consegui encontrar compras cpf informa novamente
8663,preciso preencha informacoes abaixo pedir algum colega contato voce
8665,breve bjs
8669,marcia vamos conversar sobre
8670,favor escolha opcoes abaixo
8672,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
8674,preciso informe cpf pessoa realizou compra
8676,compra marcia status pedido
8678,alguma informacao sobre pedido
8682,marcia vamos conversar sobre
8683,favor escolha opcoes abaixo
8685,ainda aprendendo vao ter algumas coisas aqui nao vou conseguir ajudar agora proxima vez vou tentar ser melhor
8686,deseja saber
8687,compra fiz
8688,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
8690,preciso informe cpf pessoa realizou compra
8692,compra marcia status pedido
8694,alguma informacao sobre pedido
8696,duvida marcia
8697,compra cartao ja pagou vcs ai pedido pendente
8698,sistema leva ate <NUMERO> analise pagamento nesse prazo voce podera receber algum contato telefone confirmar algumas informacoes
8699,descontado algum valor cartao nao preocupe apenas reserva enquanto compra analisada
8700,ajudar
8702,alguem ai entrasse contato comigo
8703,nao entendi voce quis dizer vamos tentar novamente
8704,favor escolha opcoes abaixo
8705,fiscal
8706,ter acesso nota fiscal preciso informe numero pedido <PEDIDO>
8708,preciso informe cpf pessoa realizou compra
8710,nota fiscal ainda nao faturada so vai ser gerada voce receber mail liberacao produto
8711,ajudar
8713,dia pra entrega
8714,nao entendi
8715,favor escolha opcoes abaixo
8717,ainda aprendendo vao ter algumas coisas aqui nao vou conseguir ajudar agora proxima vez vou tentar ser melhor
8718,deseja saber
8722,marcia vamos conversar sobre
8723,favor escolha opcoes abaixo
8725,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
8727,preciso informe cpf pessoa realizou compra
8729,compra marcia status pedido
8731,alguma informacao sobre pedido
8735,marcia vamos conversar sobre
8736,favor escolha opcoes abaixo
8738,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
8740,preciso informe cpf pessoa realizou compra
8742,compra marcia status pedido
8744,alguma informacao sobre pedido
8747,dores pb
8748,maria dores vamos conversar sobre
8749,favor escolha opcoes abaixo
8750,dores pedido
8751,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
8752,dores <PEDIDO>
8753,preciso informe cpf pessoa realizou compra
8754,dores <NUMERO>
8755,compra maria dores status pedido
8757,alguma informacao sobre pedido
8758,dores nao
8759,ajudar
8760,dores sim
8764,dores pb
8765,maria dores vamos conversar sobre
8766,favor escolha opcoes abaixo
8767,dores pedido
8768,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
8769,dores <PEDIDO>
8770,preciso informe cpf pessoa realizou compra
8771,dores <NUMERO>
8772,compra maria dores status pedido
8774,alguma informacao sobre pedido
8775,dores nao
8776,ajudar
8777,dores sim
8778,maria dores
8781,dores pb
8782,maria dores vamos conversar sobre
8783,favor escolha opcoes abaixo
8784,dores pedido
8785,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
8786,dores <PEDIDO>
8787,preciso informe cpf pessoa realizou compra
8788,dores <NUMERO>
8789,compra maria dores status pedido
8791,alguma informacao sobre pedido
8792,dores nao
8793,ajudar
8794,dores sim
8795,maria dores
8799,nahyane vamos conversar sobre
8800,favor escolha opcoes abaixo
8802,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
8804,preciso informe cpf pessoa realizou compra
8806,compra nahyane status pedido
8807,style border <NUMERO> solid <NUMERO> <NUMERO> <NUMERO> <NUMERO> <NUMERO> <NUMERO> <NUMERO> <NUMERO> <NUMERO>
8808,    <link href='https://fonts.googleapis.com/css?family=Roboto' rel='stylesheet'>
8809,        <b>
8810,            
8811,"                <img src=""https://armpb-global-public.s3.us-east-2.amazonaws.com/chatbot/pagamento_confirmado.png"" width='50'></img>"
8812,                
8813,"                  <b style=""color: green; font-size: 15px;"" class=""font"">"
8814,                    Pagamento Recebido
8815,                </b>
8816,                </br>
8817,            </center>
8818,        </b>
8819,    
8820,<!--###################################################################################-->
8821,        <post></post>
8822,"            <b class=""font"">"
8823,                Produto:
8824,            </b>
8825,               <post>Ventilador de Mesa Arno Super Force VEF3 30cm 3 Velocidades</post>
8826,            
8827,        <post></post>
8828,<!--###################################################################################-->
8829,"        <b class=""font"">"
8830,            Tipo de Entrega:
8831,        </b>
8832,            <post>Retirada em Loja.</post>
8833,        
8834,<!--###################################################################################-->
8835,"        <b class=""font"">"
8836,            Loja para Retirada:
8837,        </b>
8838,            <post>Mangabeira Shopping</post>
8839,        
8840,        
8841,<!--###################################################################################-->
8842,        <post></post>
8843,"            <b class=""font"">"
8844,                Forma de Pagamento:
8845,            </b>
8846,               <post>Cartão de Crédito</post>
8847,            
8848,            <post></post>
8849,"                <b class=""font"">"
8850,                    Quantidade de Parcelas:
8851,                </b>
8852,                   <post>3</post>
8853,                
8854,            <post></post>
8855,        <post></post>
8856,     
8857,<!--###################################################################################-->
8858,"        <b class=""font"">"
8859,            Observação:
8860,        </b>
8861,            <post>A partir do dia <h style='color: green;'><b>30/04/2020</b></h> você poderá pegar o seu produto na loja.</post>
8862,<!--###################################################################################-->
8863,        <style>
8864,            .font{font-family: 'Roboto';font-size: 15px;}
8865,            post{font-family: 'Roboto';font-size: 15px;}
8868,alguma informacao sobre pedido
8870,duvida nahyane
8871,produto entregar casa
8872,nao entendendo
8873,favor escolha opcoes abaixo
8875,ainda aprendendo vao ter algumas coisas aqui nao vou conseguir ajudar agora proxima vez vou tentar ser melhor
8876,deseja saber
8877,produto entregar casa
8878,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
8880,preciso informe cpf pessoa realizou compra
8882,compra nahyane status pedido
8884,alguma informacao sobre pedido
8887,pb
8888,stephanne vamos conversar sobre
8889,favor escolha opcoes abaixo
8890,pedido
8891,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
8892,<PEDIDO>
8893,preciso informe cpf pessoa realizou compra
8894,<NUMERO>
8895,compra stephanne status pedido
8897,alguma informacao sobre pedido
8898,nao
8899,ajudar
8900,sim
8901,stephanne
8905,queila vamos conversar sobre
8906,favor escolha opcoes abaixo
8907,compra
8908,informa cpf
8910,acabei verificar cpf voce nao possui nenhum saldo vale compra momento
8911,ajudar
8913,queila
8917,maria vamos conversar sobre
8918,favor escolha opcoes abaixo
8920,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
8922,nao entendi
8923,favor escolha opcoes abaixo
8925,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
8927,nao entendendo
8928,favor escolha opcoes abaixo
8930,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
8932,preciso informe cpf pessoa realizou compra
8934,compra maria status pedido
8936,alguma informacao sobre pedido
8938,ainda aprendendo maria algumas duvidas ainda nao consigo ajudar aqui fala duvida sobre prazo entrega confirmacao pagamento
8940,ajudar
8942,redirecionar atendente humano clique botao abaixo
8944,instante verificando alguem online
8946,momento nao ninguem atender tente novamente outro horario
8947,contato
8948,nao entendi voce quis dizer vamos tentar novamente
8949,favor escolha opcoes abaixo
8951,ainda aprendendo vao ter algumas coisas aqui nao vou conseguir ajudar agora proxima vez vou tentar ser melhor
8952,deseja saber
8954,lojas armazem paraiba claudino estao localizadas estados
8955,pb
8956,opcoes abaixo
8958,contato localizacao
8960,aqui sempre precisar maria
8964,maria vamos conversar sobre
8965,favor escolha opcoes abaixo
8967,favor informa numero pedido <PEDIDO>
8969,preciso informe cpf pessoa realizou compra
8971,verifiquei pedido numero <PEDIDO> voce nao escolheu boleto forma pagamento
8972,ajudar
8978,maria vamos conversar sobre
8979,favor escolha opcoes abaixo
8981,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
8983,preciso informe cpf pessoa realizou compra
8985,compra maria status pedido
8987,alguma informacao sobre pedido
8989,ajudar
8991,maria
8995,maria vamos conversar sobre
8996,favor escolha opcoes abaixo
8998,ainda aprendendo vao ter algumas coisas aqui nao vou conseguir ajudar agora proxima vez vou tentar ser melhor
8999,deseja saber
9000,entrega
9001,voce comprou site retirar produto alguma lojas prazo retirada loja <NUMERO> tres dias uteis apos confirmacao pagamento
9002,escolheu opcao entrega residencia prazo <NUMERO> dias corridos apos confirmacao pagamento
9003,todos casos enviaremos mail sempre atualizacao status pedido
9004,consultar pedido
9006,informa numero pedido maria
9008,preciso informe cpf pessoa realizou compra
9010,nao consegui encontrar compras cpf informa novamente
9012,compra maria status pedido
9014,alguma informacao sobre pedido
9016,tentar ajudar duvida maria
9017,atrasada
9018,escolheu opcao receber produto residencia prazo entrega <NUMERO> dias uteis confirmacao pagamento
9019,consultar status entrega
9028,residencia
9030,produto ate <h style color <NUMERO>
9057,ajudar
9059,redirecionar atendente humano clique botao abaixo
9061,instante verificando alguem online
9063,momento nao ninguem atender tente novamente outro horario
9065,nao entendi voce quis dizer vamos tentar novamente
9066,favor escolha opcoes abaixo
9067,devolucao
9068,duvidas relacao cancelamento podera entrar contato atraves numero <NUMERO> algum colega ira ajudar tambem posso transferir atendente humano
9069,falar atendente humano
9071,ajudar
9077,maria vamos conversar sobre
9078,favor escolha opcoes abaixo
9080,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
9082,preciso informe cpf pessoa realizou compra
9084,compra maria status pedido
9086,alguma informacao sobre pedido
9088,ajudar
9093,sa pb
9094,daniele abrantes sa vamos conversar sobre
9095,favor escolha opcoes abaixo
9096,sa duvidas
9097,ainda aprendendo vao ter algumas coisas aqui nao vou conseguir ajudar agora proxima vez vou tentar ser melhor
9098,deseja saber
9099,sa pedido nao atualiza
9100,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
9101,sa <PEDIDO>
9102,preciso informe cpf pessoa realizou compra
9103,sa <NUMERO>
9104,nao consegui encontrar compras cpf informa novamente
9105,sa <CPF>
9106,favor preciso insira dados abaixo possamos entrar contato voce
9107,sa tchau
9108,breve bjs
9111,silv pb
9112,michel batista silv vamos conversar sobre
9113,favor escolha opcoes abaixo
9114,silv pedido
9115,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
9116,silv <PEDIDO>
9117,preciso informe cpf pessoa realizou compra
9118,silv <NUMERO>
9119,compra michel batista silv status pedido
9121,alguma informacao sobre pedido
9122,silv nao
9123,ajudar
9124,silv sim
9125,aqui sempre precisar michel batista silv
9128,silv pb
9129,michel batista silv vamos conversar sobre
9130,favor escolha opcoes abaixo
9131,silv pedido
9132,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
9133,silv <PEDIDO>
9134,preciso informe cpf pessoa realizou compra
9135,silv <NUMERO>
9136,compra michel batista silv status pedido
9138,alguma informacao sobre pedido
9139,silv nao
9140,ajudar
9141,silv sim
9142,aqui sempre precisar michel batista silv
9146,michel vamos conversar sobre
9147,favor escolha opcoes abaixo
9149,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
9151,preciso informe cpf pessoa realizou compra
9153,compra michel status pedido
9155,alguma informacao sobre pedido
9157,ajudar
9163,veronica vamos conversar sobre
9164,favor escolha opcoes abaixo
9166,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
9168,preciso informe cpf pessoa realizou compra
9170,compra veronica status pedido
9172,alguma informacao sobre pedido
9174,tentar ajudar duvida veronica
9175,nao aparece confirmacao pagamento ja fez <NUMERO> horas
9176,sistema leva ate <NUMERO> analise pagamento nesse prazo voce podera receber algum contato telefone confirmar algumas informacoes
9177,descontado algum valor cartao nao preocupe apenas reserva enquanto compra analisada
9178,ajudar
9180,vou tentar ver colegas proxima vez consiga ajudar melhor abracos
9184,mariana vamos conversar sobre
9185,favor escolha opcoes abaixo
9187,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
9189,preciso informe cpf pessoa realizou compra
9191,compra mariana status pedido
9193,alguma informacao sobre pedido
9195,duvida mariana
9196,aprovacao compra ja podia pegar produto loja pq agora so dia <NUMERO>
9197,sistema leva ate <NUMERO> analise pagamento nesse prazo voce podera receber algum contato telefone confirmar algumas informacoes
9198,descontado algum valor cartao nao preocupe apenas reserva enquanto compra analisada
9199,ajudar
9201,redirecionar atendente humano clique botao abaixo
9203,instante verificando alguem online
9205,momento nao ninguem atender tente novamente outro horario
9207,breve bjs
9210,pb
9211,cristina vamos conversar sobre
9212,favor escolha opcoes abaixo
9213,pedido
9214,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
9215,<PEDIDO>
9216,preciso informe cpf pessoa realizou compra
9217,<NUMERO>
9218,compra cristina status pedido
9220,alguma informacao sobre pedido
9221,sim
9222,duvida cristina
9223,efetuado pagamento
9224,sistema leva ate <NUMERO> analise pagamento nesse prazo voce podera receber algum contato telefone confirmar algumas informacoes
9225,descontado algum valor cartao nao preocupe apenas reserva enquanto compra analisada
9226,ajudar
9227,sim
9232,cristina vamos conversar sobre
9233,favor escolha opcoes abaixo
9235,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
9237,preciso informe cpf pessoa realizou compra
9239,compra cristina status pedido
9241,alguma informacao sobre pedido
9243,tentar ajudar duvida cristina
9244,passou <NUMERO> horas nao confirmam
9245,sistema leva ate <NUMERO> analise pagamento nesse prazo voce podera receber algum contato telefone confirmar algumas informacoes
9246,descontado algum valor cartao nao preocupe apenas reserva enquanto compra analisada
9247,ajudar
9249,vou tentar ver colegas proxima vez consiga ajudar melhor abracos
9253,cristina vamos conversar sobre
9254,favor escolha opcoes abaixo
9256,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
9258,preciso informe cpf pessoa realizou compra
9260,compra cristina status pedido
9262,alguma informacao sobre pedido
9264,ainda aprendendo cristina algumas duvidas ainda nao consigo ajudar aqui fala duvida sobre prazo entrega confirmacao pagamento
9266,escolheu opcao receber produto residencia prazo entrega <NUMERO> dias uteis confirmacao pagamento
9267,consultar status entrega
9283,loja
9285,pedido <span style color <PEDIDO> estara disponivel ir pegar loja partir <span style color <NUMERO>
9305,ajudar
9307,aqui sempre precisar cristina
9310,ce
9311,ingrid vamos conversar sobre
9312,favor escolha opcoes abaixo
9313,pedido
9314,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
9315,<PEDIDO>
9316,preciso informe cpf pessoa realizou compra
9317,<NUMERO>
9318,compra ingrid status pedido
9319,style border <NUMERO> solid <NUMERO> <NUMERO> <NUMERO> <NUMERO> <NUMERO> <NUMERO> <NUMERO> <NUMERO> <NUMERO>
9320,    <link href='https://fonts.googleapis.com/css?family=Roboto' rel='stylesheet'>
9321,        <b>
9322,            
9323,"                <img src=""https://armpb-global-public.s3.us-east-2.amazonaws.com/chatbot/pagamento_confirmado.png"" width='50'></img>"
9324,                
9325,"                  <b style=""color: green; font-size: 15px;"" class=""font"">"
9326,                    Pagamento Recebido
9327,                </b>
9328,                </br>
9329,            </center>
9330,        </b>
9331,    
9332,<!--###################################################################################-->
9333,        <post></post>
9334,"            <b class=""font"">"
9335,                Produto:
9336,            </b>
9337,"               <post>Fritadeira Sem Oleo Af-30 i Family Iv 3,5L Preto/inox Mondial</post>"
9338,            
9339,        <post></post>
9340,"            <b class=""font"">"
9341,                Produto:
9342,            </b>
9343,               <post>Ventilador de Mesa 40cm Vu40 Ultra Silence Force 6 Pás 3 Velocidades Preto Arno</post>
9344,            
9345,        <post></post>
9346,<!--###################################################################################-->
9347,"        <b class=""font"">"
9348,            Tipo de Entrega:
9349,        </b>
9350,            <post>Retirada em Loja.</post>
9351,        
9352,<!--###################################################################################-->
9353,"        <b class=""font"">"
9354,            Loja para Retirada:
9355,        </b>
9356,            <post>Iguatu</post>
9357,        
9358,        
9359,<!--###################################################################################-->
9360,        <post></post>
9361,"            <b class=""font"">"
9362,                Forma de Pagamento:
9363,            </b>
9364,               <post>Cartão de Crédito</post>
9365,            
9366,            <post></post>
9367,"                <b class=""font"">"
9368,                    Quantidade de Parcelas:
9369,                </b>
9370,                   <post>10</post>
9371,                
9372,            <post></post>
9373,        <post></post>
9374,     
9375,<!--###################################################################################-->
9376,"        <b class=""font"">"
9377,            Observação:
9378,        </b>
9379,            <post>A partir do dia <h style='color: green;'><b>09/05/2020</b></h> você poderá pegar o seu produto na loja.</post>
9380,<!--###################################################################################-->
9381,        <style>
9382,            .font{font-family: 'Roboto';font-size: 15px;}
9383,            post{font-family: 'Roboto';font-size: 15px;}
9386,alguma informacao sobre pedido
9387,sim
9388,tentar ajudar duvida ingrid
9389,situacao pedido
9390,nao entendi
9391,favor escolha opcoes abaixo
9392,duvidas
9393,ainda aprendendo vao ter algumas coisas aqui nao vou conseguir ajudar agora proxima vez vou tentar ser melhor
9394,deseja saber
9395,situacao pedido
9396,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
9397,<PEDIDO>
9398,preciso informe cpf pessoa realizou compra
9399,<NUMERO>
9400,compra ingrid status pedido
9402,alguma informacao sobre pedido
9403,sim
9404,ainda aprendendo ingrid algumas duvidas ainda nao consigo ajudar aqui fala duvida sobre prazo entrega confirmacao pagamento
9405,nao recebi email retirada
9406,voce comprou retirar produto loja prazo retirada <NUMERO> horas uteis apos voce receber mail confirmacao pagamento
9407,consultar status pedido
9408,sim
9423,loja
9425,pedido <span style color <PEDIDO> estara disponivel ir pegar loja partir <span style color <NUMERO>
9445,ajudar
9446,sim
9447,aqui sempre precisar ingrid
9451,davi vamos conversar sobre
9452,favor escolha opcoes abaixo
9453,compra
9454,informa cpf
9456,acabei verificar cpf voce nao possui nenhum saldo vale compra momento
9457,ajudar
9462,pb
9463,germania vamos conversar sobre
9464,favor escolha opcoes abaixo
9465,pedido
9466,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
9467,<PEDIDO>
9468,preciso informe cpf pessoa realizou compra
9469,<NUMERO>
9470,compra germania status pedido
9472,alguma informacao sobre pedido
9473,nao
9474,ajudar
9475,sim
9480,noelma vamos conversar sobre
9481,favor escolha opcoes abaixo
9483,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
9485,preciso informe cpf pessoa realizou compra
9487,nao consegui encontrar compras cpf informa novamente
9489,favor preciso insira dados abaixo possamos entrar contato voce
9491,breve bjs
9495,ingrid vamos conversar sobre
9496,favor escolha opcoes abaixo
9498,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
9500,preciso informe cpf pessoa realizou compra
9502,compra ingrid status pedido
9504,alguma informacao sobre pedido
9506,ajudar
9512,max vamos conversar sobre
9513,favor escolha opcoes abaixo
9515,ainda aprendendo vao ter algumas coisas aqui nao vou conseguir ajudar agora proxima vez vou tentar ser melhor
9516,deseja saber
9518,voce comprou site retirar produto alguma lojas prazo retirada loja <NUMERO> tres dias uteis apos confirmacao pagamento
9519,escolheu opcao entrega residencia prazo <NUMERO> dias corridos apos confirmacao pagamento
9520,todos casos enviaremos mail sempre atualizacao status pedido
9521,consultar pedido
9522,ja ultrapassado
9523,nao entendendo
9524,favor escolha opcoes abaixo
9526,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
9528,preciso informe cpf pessoa realizou compra
9530,compra max status pedido
9532,alguma informacao sobre pedido
9534,duvida max
9535,saber chegara residencia
9536,escolheu opcao receber produto residencia prazo entrega <NUMERO> dias uteis confirmacao pagamento
9537,consultar status entrega
9546,residencia
9548,proximo status
9575,ajudar
9577,redirecionar atendente humano clique botao abaixo
9579,instante verificando alguem online
9581,momento nao ninguem atender tente novamente outro horario
9582,ninguem disponivel
9583,favor escolha opcoes abaixo
9585,ainda aprendendo vao ter algumas coisas aqui nao vou conseguir ajudar agora proxima vez vou tentar ser melhor
9586,deseja saber
9587,falar alguem
9588,redirecionar atendente humano clique botao abaixo
9590,instante verificando alguem online
9592,momento nao ninguem atender tente novamente outro horario
9594,nao entendi
9595,favor escolha opcoes abaixo
